instid;en_name;cat;journalnumb;n;jf;jfxpub
370;Department of Materials and Manufacturing Technology;INSTRUMENTS & INSTRUMENTATION;3;3;0.914;2.742
370;Department of Materials and Manufacturing Technology;ENGINEERING, ENVIRONMENTAL;2;3;0.904;2.712
370;Department of Materials and Manufacturing Technology;CHEMISTRY, ANALYTICAL;2;3;0.904;2.712
370;Department of Materials and Manufacturing Technology;ENGINEERING, INDUSTRIAL;1;3;0.898;2.694
370;Department of Materials and Manufacturing Technology;ENGINEERING, MANUFACTURING;3;8;0.867;6.936
370;Department of Materials and Manufacturing Technology;MECHANICS;3;6;0.825;4.950
370;Department of Materials and Manufacturing Technology;EDUCATION & EDUCATIONAL RESEARCH;1;1;0.787;0.787
370;Department of Materials and Manufacturing Technology;MATERIALS SCIENCE, MULTIDISCIPLINARY;28;65;0.753;48.945
370;Department of Materials and Manufacturing Technology;MINING & MINERAL PROCESSING;2;3;0.753;2.259
370;Department of Materials and Manufacturing Technology;MINERALOGY;2;3;0.753;2.259
370;Department of Materials and Manufacturing Technology;NANOSCIENCE & NANOTECHNOLOGY;2;8;0.736;5.888
370;Department of Materials and Manufacturing Technology;MICROSCOPY;1;1;0.734;0.734
370;Department of Materials and Manufacturing Technology;POLYMER SCIENCE;13;38;0.723;27.474
370;Department of Materials and Manufacturing Technology;ENGINEERING, MECHANICAL;6;19;0.717;13.623
370;Department of Materials and Manufacturing Technology;PHYSICS, CONDENSED MATTER;5;7;0.686;4.802
370;Department of Materials and Manufacturing Technology;ELECTROCHEMISTRY;2;2;0.657;1.314
370;Department of Materials and Manufacturing Technology;METALLURGY & METALLURGICAL ENGINEERING;17;43;0.656;28.208
370;Department of Materials and Manufacturing Technology;PHYSICS, APPLIED;7;30;0.616;18.480
370;Department of Materials and Manufacturing Technology;ENGINEERING, ELECTRICAL & ELECTRONIC;7;29;0.609;17.661
370;Department of Materials and Manufacturing Technology;CHEMISTRY, PHYSICAL;9;20;0.603;12.060
370;Department of Materials and Manufacturing Technology;OPERATIONS RESEARCH & MANAGEMENT SCIENCE;1;1;0.577;0.577
370;Department of Materials and Manufacturing Technology;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;1;1;0.577;0.577
370;Department of Materials and Manufacturing Technology;THERMODYNAMICS;1;2;0.547;1.094
370;Department of Materials and Manufacturing Technology;ENGINEERING, CHEMICAL;6;15;0.517;7.755
370;Department of Materials and Manufacturing Technology;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;2;2;0.485;0.970
370;Department of Materials and Manufacturing Technology;MATERIALS SCIENCE, BIOMATERIALS;1;1;0.434;0.434
370;Department of Materials and Manufacturing Technology;ENERGY & FUELS;2;2;0.426;0.852
370;Department of Materials and Manufacturing Technology;PHYSICS, FLUIDS & PLASMAS;1;1;0.386;0.386
370;Department of Materials and Manufacturing Technology;PHYSICS, MULTIDISCIPLINARY;1;1;0.211;0.211
370;Department of Materials and Manufacturing Technology;CHEMISTRY, MULTIDISCIPLINARY;1;1;0.170;0.170
371;Department of Mathematical Sciences;MEDICINE, GENERAL & INTERNAL;4;5;2.912;14.560
371;Department of Mathematical Sciences;MATERIALS SCIENCE, BIOMATERIALS;1;1;2.439;2.439
371;Department of Mathematical Sciences;NANOSCIENCE & NANOTECHNOLOGY;1;1;2.062;2.062
371;Department of Mathematical Sciences;PHYSICS, APPLIED;1;1;2.062;2.062
371;Department of Mathematical Sciences;TRANSPORTATION;2;2;1.923;3.846
371;Department of Mathematical Sciences;EVOLUTIONARY BIOLOGY;4;6;1.908;11.448
371;Department of Mathematical Sciences;WATER RESOURCES;2;2;1.809;3.618
371;Department of Mathematical Sciences;ENGINEERING, MULTIDISCIPLINARY;3;9;1.809;16.281
371;Department of Mathematical Sciences;OTORHINOLARYNGOLOGY;1;1;1.706;1.706
371;Department of Mathematical Sciences;AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY;1;1;1.706;1.706
371;Department of Mathematical Sciences;BIOTECHNOLOGY & APPLIED MICROBIOLOGY;6;6;1.668;10.008
371;Department of Mathematical Sciences;THERMODYNAMICS;1;1;1.664;1.664
371;Department of Mathematical Sciences;ENGINEERING, ELECTRICAL & ELECTRONIC;4;7;1.640;11.480
371;Department of Mathematical Sciences;ECONOMICS;2;2;1.613;3.226
371;Department of Mathematical Sciences;OPTICS;1;1;1.579;1.579
371;Department of Mathematical Sciences;ERGONOMICS;1;1;1.572;1.572
371;Department of Mathematical Sciences;TRANSPORTATION SCIENCE & TECHNOLOGY;2;2;1.572;3.144
371;Department of Mathematical Sciences;SOCIAL SCIENCES, INTERDISCIPLINARY;1;1;1.572;1.572
371;Department of Mathematical Sciences;ENGINEERING, ENVIRONMENTAL;4;4;1.560;6.240
371;Department of Mathematical Sciences;SOCIAL SCIENCES, BIOMEDICAL;1;1;1.531;1.531
371;Department of Mathematical Sciences;OCEANOGRAPHY;1;1;1.496;1.496
371;Department of Mathematical Sciences;AUTOMATION & CONTROL SYSTEMS;4;6;1.488;8.928
371;Department of Mathematical Sciences;GASTROENTEROLOGY & HEPATOLOGY;3;6;1.482;8.892
371;Department of Mathematical Sciences;LIMNOLOGY;1;1;1.481;1.481
371;Department of Mathematical Sciences;MECHANICS;4;12;1.464;17.568
371;Department of Mathematical Sciences;MARINE & FRESHWATER BIOLOGY;4;4;1.456;5.824
371;Department of Mathematical Sciences;ENGINEERING, BIOMEDICAL;2;2;1.455;2.910
371;Department of Mathematical Sciences;COMPUTER SCIENCE, INFORMATION SYSTEMS;1;2;1.429;2.858
371;Department of Mathematical Sciences;IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY;1;1;1.412;1.412
371;Department of Mathematical Sciences;GEOCHEMISTRY & GEOPHYSICS;1;1;1.412;1.412
371;Department of Mathematical Sciences;FISHERIES;1;1;1.368;1.368
371;Department of Mathematical Sciences;VETERINARY SCIENCES;1;1;1.368;1.368
